time,commercial,helicopter,house,park,street,vehicle,,,,,,,,,
12AM,22,0,0,31,31,4,,,,,,,,,
1AM,17,0,0,6,6,11,,,,,,,,,
2AM,11,0,0,8,8,2,,,,,,,,,
3AM,3,0,0,7,7,1,,,,,,,,,
4AM,6,0,0,4,4,3,,,,,,,,,
5AM,1,0,0,1,1,5,,,,,,,,,
6AM,6,1,0,6,6,6,,,,,,,,,
7AM,4,2,0,12,12,1,,,,,,,,,
8AM,3,1,0,48,48,4,,,286,55,0,564,564,111,1580
9AM,5,2,0,43,43,8,,,,,,,,,
10AM,7,2,0,45,45,2,,,,,,,,,
11AM,8,2,0,45,45,4,,,,,,,,,
12PM,8,2,0,40,40,1,,,,,,,,,
1PM,7,3,0,49,49,3,,,,,,,,,
2PM,8,4,0,50,50,5,,,,,,,,,
3PM,7,3,0,29,29,5,,,,,,,,,
4PM,6,7,0,14,14,2,,,,,,,,,
5PM,6,8,0,12,12,1,,,,,,,,,
6PM,8,2,0,10,10,3,,,,,,,,,
7PM,10,1,0,18,18,2,,,,,,,,,
8PM,11,10,0,17,17,3,,,,,,,,,
9PM,28,2,0,30,30,6,,,,,,,,,
10PM,47,3,0,16,16,9,,,,,,,,,
11PM,47,0,0,23,23,20,,,,,,,,,
,18%,3%,0%,36%,36%,7%,,,,,,,,,
