time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,76,0,0,2,209,44,,,,,,,,
1AM,33,1,1,0,145,29,,,,,,,,
2AM,19,1,1,2,76,18,,,,,,,,
3AM,10,0,1,0,39,18,,,,,,,,
4AM,5,0,1,0,20,13,,,,,,,,
5AM,2,1,1,0,7,4,,,,,,,,
6AM,1,7,0,1,32,4,,,,,,,,
7AM,5,0,0,0,11,6,,599,20,21,51,1615,527,2833
8AM,5,1,0,1,5,11,,,,,,,,
9AM,3,0,0,0,7,5,,,,,,,,
10AM,19,1,0,0,14,5,,,,,,,,
11AM,21,0,0,0,6,5,,,,,,,,
12PM,17,1,3,1,14,3,,,,,,,,
1PM,14,0,4,1,26,6,,,,,,,,
2PM,13,0,1,0,21,6,,,,,,,,
3PM,13,0,0,7,23,7,,,,,,,,
4PM,14,2,0,3,34,16,,,,,,,,
5PM,19,2,1,4,36,19,,,,,,,,
6PM,29,1,1,3,56,24,,,,,,,,
7PM,32,0,1,5,76,28,,,,,,,,
8PM,39,1,2,6,124,57,,,,,,,,
9PM,33,0,2,4,137,53,,,,,,,,
10PM,63,1,0,7,251,65,,,,,,,,
11PM,114,0,1,4,246,81,,,,,,,,
,21%,1%,1%,2%,57%,19%,,,,,,,,
