time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,263,0,0,32,45,19,,,,,,,,
1AM,269,1,3,14,47,15,,,,,,,,
2AM,132,2,0,4,23,11,,,,,,,,
3AM,74,0,0,0,18,6,,,,,,,,
4AM,24,0,0,1,19,7,,,,,,,,
5AM,10,0,0,0,7,8,,,,,,,,
6AM,2,1,0,0,4,1,,,,,,,,
7AM,8,0,0,2,4,1,,1586,7,8,255,419,173,2448
8AM,4,1,0,37,3,2,,,,,,,,
9AM,7,0,0,38,7,2,,,,,,,,
10AM,9,0,0,8,13,1,,,,,,,,
11AM,16,0,0,4,13,4,,,,,,,,
12PM,9,2,0,5,7,4,,,,,,,,
1PM,10,0,2,6,7,5,,,,,,,,
2PM,22,0,0,7,18,5,,,,,,,,
3PM,15,0,0,7,16,5,,,,,,,,
4PM,18,0,0,5,9,4,,,,,,,,
5PM,15,0,1,8,7,3,,,,,,,,
6PM,21,0,0,2,16,4,,,,,,,,
7PM,34,0,0,4,15,4,,,,,,,,
8PM,77,0,0,5,18,12,,,,,,,,
9PM,97,0,0,6,26,22,,,,,,,,
10PM,190,0,1,8,30,7,,,,,,,,
11PM,260,0,1,52,47,21,,,,,,,,
,65%,0%,0%,10%,17%,7%,,,,,,,,
