time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,254,0,0,0,24,18,,,,,,,,
1AM,155,0,0,1,18,12,,,,,,,,
2AM,92,0,0,0,26,12,,,,,,,,
3AM,42,0,1,0,14,7,,,,,,,,
4AM,20,0,0,0,14,11,,,,,,,,
5AM,10,0,0,0,4,10,,,,,,,,
6AM,12,1,0,0,6,7,,1464,16,5,37,329,242,2093
7AM,12,2,0,0,8,16,,,,,,,,
8AM,13,1,0,0,21,8,,,,,,,,
9AM,19,0,0,0,9,7,,,,,,,,
10AM,12,0,0,0,8,9,,,,,,,,
11AM,14,1,0,0,3,9,,,,,,,,
12PM,14,0,0,1,6,5,,,,,,,,
1PM,17,1,0,0,4,6,,,,,,,,
2PM,26,0,0,0,5,5,,,,,,,,
3PM,34,0,0,0,6,4,,,,,,,,
4PM,25,0,0,1,5,9,,,,,,,,
5PM,27,0,0,2,4,21,,,,,,,,
6PM,21,0,0,6,9,7,,,,,,,,
7PM,42,3,0,7,6,9,,,,,,,,
8PM,65,0,0,6,25,10,,,,,,,,
9PM,108,4,0,10,44,0,,,,,,,,
10PM,187,1,2,1,26,17,,,,,,,,
11PM,243,2,2,2,34,23,,,,,,,,
,70%,1%,0%,2%,16%,12%,,,,,,,,
