time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,1,0,0,0,0,2,,,,,,,,
1AM,0,0,0,0,1,0,,,,,,,,
2AM,0,0,0,0,0,0,,,,,,,,
3AM,0,0,0,0,0,0,,,,,,,,
4AM,0,0,0,0,2,0,,4,1,2,5,27,20,59
5AM,0,0,0,0,0,0,,,,,,,,
6AM,0,0,0,0,0,1,,,,,,,,
7AM,0,0,0,0,1,4,,,,,,,,
8AM,0,0,0,0,0,1,,,,,,,,
9AM,0,0,0,0,1,1,,,,,,,,
10AM,0,0,0,0,0,0,,,,,,,,
11AM,0,0,0,0,1,0,,,,,,,,
12PM,0,0,0,0,0,0,,,,,,,,
1PM,0,0,0,0,0,1,,,,,,,,
2PM,0,0,0,1,2,2,,,,,,,,
3PM,0,0,0,0,0,0,,,,,,,,
4PM,1,0,0,0,3,1,,,,,,,,
5PM,0,0,0,0,1,2,,,,,,,,
6PM,0,0,0,0,2,0,,,,,,,,
7PM,0,0,0,0,2,1,,,,,,,,
8PM,0,1,2,4,7,2,,,,,,,,
9PM,1,0,0,0,2,1,,,,,,,,
10PM,0,0,0,0,2,0,,,,,,,,
11PM,1,0,0,0,0,1,,,,,,,,
,7%,2%,3%,8%,46%,34%,,,,,,,,
