time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,67,0,2,3,97,26,,,,,,,,
1AM,27,0,0,6,63,17,,,,,,,,
2AM,23,1,1,1,44,10,,,,,,,,
3AM,15,0,0,0,28,7,,,,,,,,
4AM,9,0,0,1,15,6,,,,,,,,
5AM,5,0,0,0,3,5,,,,,,,,
6AM,6,2,0,0,3,0,,,,,,,,
7AM,3,0,0,0,3,2,,,,,,,,
8AM,0,0,0,3,4,9,,,,,,,,
9AM,16,0,0,1,3,0,,,,,,,,
10AM,16,0,0,2,18,2,,,,,,,,
11AM,16,0,0,1,19,2,,427,4,22,155,873,221,1702
12PM,14,1,0,4,23,5,,,,,,,,
1PM,19,0,1,3,25,6,,,,,,,,
2PM,7,0,0,4,18,10,,,,,,,,
3PM,10,0,0,8,25,4,,,,,,,,
4PM,10,0,1,5,24,7,,,,,,,,
5PM,9,0,1,10,22,9,,,,,,,,
6PM,8,0,0,14,23,10,,,,,,,,
7PM,6,0,2,16,43,14,,,,,,,,
8PM,6,0,7,16,52,13,,,,,,,,
9PM,27,0,0,28,75,13,,,,,,,,
10PM,46,0,5,19,116,21,,,,,,,,
11PM,62,0,2,10,127,23,,,,,,,,
,25%,0%,1%,9%,51%,13%,,,,,,,,
