time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,31,1,6,4,80,9,,,,,,,,
1AM,22,0,3,0,41,3,,,,,,,,
2AM,14,0,2,1,32,5,,,,,,,,
3AM,6,1,0,0,16,3,,,,,,,,
4AM,1,0,0,0,10,1,,,,,,,,
5AM,0,0,0,0,5,1,,,,,,,,
6AM,0,0,0,0,1,1,,,,,,,,
7AM,1,2,0,0,1,0,,,,,,,,
8AM,1,0,0,1,2,3,,,,,,,,
9AM,1,0,0,1,5,0,,,,,,,,
10AM,1,0,0,1,6,6,,,,,,,,
11AM,4,0,0,3,13,3,,,,,,,,
12PM,0,0,1,6,16,1,,,,,,,,
1PM,1,0,0,11,22,1,,,,,,,,
2PM,4,0,0,6,21,4,,,,,,,,
3PM,6,1,0,1,18,4,,260,7,26,65,704,122,1184
4PM,5,0,0,1,14,2,,,,,,,,
5PM,6,0,0,0,22,2,,,,,,,,
6PM,10,0,0,2,33,7,,,,,,,,
7PM,9,0,3,6,35,8,,,,,,,,
8PM,14,0,3,3,68,11,,,,,,,,
9PM,22,0,2,4,66,6,,,,,,,,
10PM,43,1,1,6,94,25,,,,,,,,
11PM,58,1,5,8,83,16,,,,,,,,
,22%,1%,2%,5%,59%,10%,,,,,,,,
