time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,407,0,0,0,56,14,,,,,,,,
1AM,486,0,1,1,50,11,,,,,,,,
2AM,278,0,0,0,37,7,,,,,,,,
3AM,100,0,0,0,19,9,,,,,,,,
4AM,26,0,0,0,21,20,,,,,,,,
5AM,17,0,0,0,7,10,,,,,,,,
6AM,5,0,0,0,5,7,,,,,,,,
7AM,6,1,0,1,4,4,,,,,,,,
8AM,13,1,2,1,4,3,,,,,,,,
9AM,7,0,1,4,10,2,,,,,,,,
10AM,17,0,1,0,5,2,,,,,,,,
11AM,12,0,0,1,4,4,,,,,,,,
12PM,16,0,0,3,9,5,,,,,,,,
1PM,17,0,0,3,11,3,,,,,,,,
2PM,17,0,0,1,11,3,,2194,9,6,113,464,172,2958
3PM,19,0,0,14,11,4,,,,,,,,
4PM,17,0,0,8,14,5,,,,,,,,
5PM,15,4,1,8,12,3,,,,,,,,
6PM,31,0,0,9,13,5,,,,,,,,
7PM,26,0,0,7,12,6,,,,,,,,
8PM,53,0,0,7,15,4,,,,,,,,
9PM,107,0,0,18,38,4,,,,,,,,
10PM,188,3,0,7,45,18,,,,,,,,
11PM,314,0,0,20,51,19,,,,,,,,
,74%,0%,0%,4%,16%,6%,,,,,,,,
