time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,66,0,2,2,22,5,,,,,,,,
1AM,35,0,0,2,10,3,,,,,,,,
2AM,37,0,0,0,9,1,,,,,,,,
3AM,18,0,0,0,4,4,,,,,,,,
4AM,9,1,0,0,12,2,,,,,,,,
5AM,10,1,0,0,8,1,,,,,,,,
6AM,4,0,0,0,2,6,,,,,,,,
7AM,0,2,0,0,1,3,,,,,,,,
8AM,4,0,0,0,2,7,,,,,,,,
9AM,2,0,0,0,2,4,,,,,,,,
10AM,4,0,0,0,2,3,,,,,,,,
11AM,3,1,0,0,2,3,,,,,,,,
12PM,3,0,0,0,7,0,,,,,,,,
1PM,2,2,1,1,4,5,,,,,,,,
2PM,3,0,0,1,6,6,,,,,,,,
3PM,5,0,0,0,4,1,,,,,,,,
4PM,1,0,0,0,5,4,,,,,,,,
5PM,6,0,0,0,6,3,,,,,,,,
6PM,9,0,0,1,8,2,,364,7,6,10,174,79,640
7PM,11,0,0,1,8,3,,,,,,,,
8PM,19,0,0,0,13,6,,,,,,,,
9PM,43,0,0,1,16,2,,,,,,,,
10PM,70,0,3,1,21,5,,,,,,,,
11PM,83,0,0,1,13,4,,,,,,,,
,57%,1%,1%,2%,27%,12%,,,,,,,,
