time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,56,0,2,3,228,25,,,,,,,,
1AM,66,1,1,2,144,31,,,,,,,,
2AM,50,1,0,0,90,23,,,,,,,,
3AM,26,0,0,0,49,7,,,,,,,,
4AM,11,0,0,0,40,5,,,,,,,,
5AM,3,0,0,0,18,10,,,,,,,,
6AM,3,2,1,0,6,6,,,,,,,,
7AM,2,0,0,0,7,0,,,,,,,,
8AM,1,0,0,0,2,0,,,,,,,,
9AM,3,6,1,1,2,1,,,,,,,,
10AM,0,14,0,0,8,2,,,,,,,,
11AM,6,13,0,1,11,4,,,,,,,,
12PM,5,14,0,0,10,9,,,,,,,,
1PM,5,8,0,1,16,6,,,,,,,,
2PM,1,5,0,3,19,8,,,,,,,,
3PM,3,2,1,4,25,7,,,,,,,,
4PM,8,3,1,7,44,12,,,,,,,,
5PM,8,1,2,13,37,14,,,,,,,,
6PM,10,1,5,15,72,28,,,,,,,,
7PM,17,0,3,8,101,39,,,,,,,,
8PM,25,1,1,14,93,41,,410,74,31,93,1605,396,2609
9PM,14,1,5,8,148,36,,,,,,,,
10PM,31,0,5,8,219,46,,,,,,,,
11PM,56,1,3,5,216,36,,,,,,,,
,16%,3%,1%,4%,62%,15%,,,,,,,,
