time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,138,1,0,0,37,18,,,,,,,,
1AM,97,2,0,1,22,22,,,,,,,,
2AM,55,1,0,0,18,16,,,,,,,,
3AM,24,0,0,0,5,9,,,,,,,,
4AM,25,0,0,0,14,9,,,,,,,,
5AM,5,0,0,0,2,14,,,,,,,,
6AM,4,3,0,0,5,11,,,,,,,,
7AM,13,6,0,1,29,4,,,,,,,,
8AM,11,2,0,0,39,6,,,,,,,,
9AM,5,1,0,0,15,8,,,,,,,,
10AM,15,1,0,3,15,8,,,,,,,,
11AM,16,1,0,1,24,9,,,,,,,,
12PM,20,2,1,5,32,8,,,,,,,,
1PM,22,3,0,6,27,6,,,,,,,,
2PM,27,1,0,9,44,14,,,,,,,,
3PM,39,4,1,12,41,15,,,,,,,,
4PM,31,5,0,19,30,12,,,,,,,,
5PM,20,3,0,17,30,9,,,,,,,,
6PM,39,2,1,11,35,8,,,,,,,,
7PM,44,2,0,7,26,11,,,,,,,,
8PM,55,0,1,6,28,14,,,,,,,,
9PM,92,3,1,14,33,20,,1113,47,8,132,646,296,2242
10PM,151,2,1,14,49,13,,,,,,,,
11PM,165,2,2,6,46,32,,,,,,,,
,50%,2%,0%,6%,29%,13%,,,,,,,,
