time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,57,1,0,0,12,19,,,,,,,
1AM,33,0,0,0,16,15,,,,,,,
2AM,10,1,0,0,9,7,,,,,,,
3AM,17,0,0,0,4,1,,,,,,,
4AM,11,0,0,0,3,1,,,,,,,
5AM,7,1,0,0,2,4,,,,,,,
6AM,10,2,0,0,1,4,,,,,,,
7AM,17,0,0,0,4,2,,,,,,,
8AM,31,1,0,0,6,8,,,,,,,
9AM,22,0,0,0,10,6,,,,,,,
10AM,23,0,2,0,9,12,,,,,,,
11AM,19,0,0,1,9,11,,,,,,,
12PM,18,0,0,0,6,6,,,,,,,
1PM,15,0,1,0,8,5,,,,,,,
2PM,15,0,0,0,4,8,,,,,,,
3PM,12,0,0,0,7,8,,,,,,,
4PM,15,1,0,0,5,8,,,,,,,
5PM,15,3,1,0,3,5,,,,,,,
6PM,16,0,1,0,6,8,,,,,,,
7PM,32,0,5,0,7,8,,,,,,,
8PM,31,0,2,0,8,17,,,,,,,
9PM,31,0,0,0,12,15,,,,,,,
10PM,72,0,1,0,35,30,,,,,,,
11PM,75,0,0,0,32,33,604,10,13,1,218,241,1087
,56%,1%,1%,0%,20%,22%,,,,,,,
