time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,17,0,0,0,18,9,,,,,,,
1AM,13,0,1,1,12,11,,,,,,,
2AM,12,1,0,0,4,9,,,,,,,
3AM,8,0,0,2,4,5,,,,,,,
4AM,4,0,0,1,7,8,,,,,,,
5AM,1,1,0,0,6,6,,,,,,,
6AM,1,2,0,0,0,4,,,,,,,
7AM,3,0,0,2,4,3,,,,,,,
8AM,5,2,0,0,5,9,,,,,,,
9AM,2,1,0,1,3,8,,,,,,,
10AM,7,1,0,0,3,9,,,,,,,
11AM,6,2,1,4,6,6,,,,,,,
12PM,8,1,1,1,17,4,,,,,,,
1PM,2,1,0,3,15,3,,,,,,,
2PM,4,4,0,2,18,12,,,,,,,
3PM,4,2,0,1,26,4,,,,,,,
4PM,1,1,0,1,17,5,,,,,,,
5PM,5,4,0,5,25,1,,,,,,,
6PM,4,4,1,3,33,11,,,,,,,
7PM,5,3,0,2,25,6,,,,,,,
8PM,14,1,0,4,19,4,,,,,,,
9PM,23,3,0,7,21,16,,,,,,,
10PM,29,0,0,7,18,9,,,,,,,
11PM,27,1,1,6,16,14,205,35,5,53,322,176,796
,26%,4%,1%,7%,40%,22%,,,,,,,
