time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,115,2,1,7,49,9,,,,,,,
1AM,106,0,0,1,45,10,,,,,,,
2AM,59,0,0,3,19,9,,,,,,,
3AM,39,0,0,2,12,10,,,,,,,
4AM,8,0,0,1,16,9,,,,,,,
5AM,3,0,0,1,10,2,,,,,,,
6AM,2,1,0,1,2,3,,,,,,,
7AM,2,0,0,1,16,0,,,,,,,
8AM,3,0,0,0,1,1,,,,,,,
9AM,2,1,1,3,2,5,,,,,,,
10AM,1,2,0,3,14,3,,,,,,,
11AM,1,4,0,2,10,5,,,,,,,
12PM,4,2,1,4,8,10,,,,,,,
1PM,4,1,0,4,19,8,,,,,,,
2PM,8,2,3,8,20,10,,,,,,,
3PM,6,1,2,5,21,12,,,,,,,
4PM,3,4,2,14,14,10,,,,,,,
5PM,10,1,0,21,22,16,,,,,,,
6PM,11,2,0,25,21,19,,,,,,,
7PM,12,0,0,23,42,23,,,,,,,
8PM,32,1,2,30,46,29,,,,,,,
9PM,61,0,0,23,55,38,,,,,,,
10PM,71,1,0,14,49,20,,,,,,,
11PM,106,0,1,4,61,20,669,25,13,200,574,281,1762
,38%,1%,1%,11%,33%,16%,,,,,,,
