time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,233,0,0,3,100,38,,,,,,,
1AM,174,0,0,0,65,20,,,,,,,
2AM,99,0,0,1,40,13,,,,,,,
3AM,39,0,0,1,18,15,,,,,,,
4AM,13,0,0,1,18,15,,,,,,,
5AM,2,0,0,1,11,10,,,,,,,
6AM,4,2,0,0,3,3,,,,,,,
7AM,5,1,0,3,5,3,,,,,,,
8AM,9,1,0,0,5,0,,,,,,,
9AM,8,0,0,0,6,2,,,,,,,
10AM,10,1,0,0,4,1,,,,,,,
11AM,29,1,0,8,3,2,,,,,,,
12PM,21,0,0,6,7,3,,,,,,,
1PM,19,0,0,0,5,1,,,,,,,
2PM,23,0,0,4,14,4,,,,,,,
3PM,31,0,0,5,7,8,,,,,,,
4PM,35,0,0,3,22,2,,,,,,,
5PM,38,2,0,1,21,6,,,,,,,
6PM,50,1,0,7,32,22,,,,,,,
7PM,61,1,1,11,47,16,,,,,,,
8PM,108,0,2,6,71,23,,,,,,,
9PM,166,1,1,5,78,23,,,,,,,
10PM,177,0,1,8,104,32,,,,,,,
11PM,247,1,0,7,112,29,1601,12,5,81,798,291,2788
,57%,0%,0%,3%,29%,10%,,,,,,,
