time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,172,0,0,0,29,4,,,,,,,
1AM,144,0,0,1,23,9,,,,,,,
2AM,83,1,0,1,17,4,,,,,,,
3AM,29,0,0,0,13,5,,,,,,,
4AM,15,0,0,0,14,7,,,,,,,
5AM,9,0,0,0,7,5,,,,,,,
6AM,12,0,0,0,8,2,,,,,,,
7AM,20,0,0,0,12,5,,,,,,,
8AM,9,2,0,1,25,4,,,,,,,
9AM,16,0,0,0,31,6,,,,,,,
10AM,18,0,0,0,46,4,,,,,,,
11AM,20,0,0,1,60,3,,,,,,,
12PM,11,0,0,5,78,14,,,,,,,
1PM,14,0,0,2,67,7,,,,,,,
2PM,21,1,1,4,89,10,,,,,,,
3PM,21,0,0,2,65,10,,,,,,,
4PM,25,1,0,0,56,6,,,,,,,
5PM,24,0,0,1,57,12,,,,,,,
6PM,31,1,0,0,48,9,,,,,,,
7PM,44,0,0,1,40,10,,,,,,,
8PM,55,1,2,1,31,7,,,,,,,
9PM,100,0,0,1,39,6,,,,,,,
10PM,126,1,0,1,52,10,,,,,,,
11PM,188,1,0,1,57,14,1207,9,3,23,964,173,2379
,51%,0%,0%,1%,41%,7%,,,,,,,
