time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,72,0,2,1,92,12,,,,,,,
1AM,74,3,0,1,60,10,,,,,,,
2AM,35,0,1,1,48,7,,,,,,,
3AM,17,0,0,1,14,2,,,,,,,
4AM,4,0,0,1,20,4,,,,,,,
5AM,1,0,0,0,10,7,,,,,,,
6AM,0,0,0,0,14,6,,,,,,,
7AM,0,0,0,0,1,8,,,,,,,
8AM,1,0,0,0,3,3,,,,,,,
9AM,3,0,1,0,4,3,,,,,,,
10AM,4,0,0,1,12,3,,,,,,,
11AM,3,4,1,1,13,6,,,,,,,
12PM,4,1,0,0,23,4,,,,,,,
1PM,4,1,6,1,29,7,,,,,,,
2PM,3,1,3,1,22,6,,,,,,,
3PM,4,0,0,4,28,9,,,,,,,
4PM,3,2,0,4,18,10,,,,,,,
5PM,7,1,0,4,19,6,,,,,,,
6PM,5,1,1,3,19,12,,,,,,,
7PM,6,0,1,10,30,7,,,,,,,
8PM,4,0,1,5,40,12,,,,,,,
9PM,29,0,2,9,40,11,,,,,,,
10PM,52,0,1,10,86,26,,,,,,,
11PM,78,0,1,2,84,22,413,14,21,60,729,203,1440
,29%,1%,1%,4%,51%,14%,,,,,,,
