time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,68,1,2,0,29,5,,,,,,,
1AM,57,0,4,0,11,6,,,,,,,
2AM,31,0,1,0,12,3,,,,,,,
3AM,15,0,1,0,12,4,,,,,,,
4AM,6,0,0,0,10,4,,,,,,,
5AM,0,0,1,0,5,8,,,,,,,
6AM,6,0,0,0,2,5,,,,,,,
7AM,2,1,0,0,41,3,,,,,,,
8AM,1,0,2,0,5,5,,,,,,,
9AM,5,0,0,0,17,4,,,,,,,
10AM,2,1,1,0,14,7,,,,,,,
11AM,2,0,3,0,19,6,,,,,,,
12PM,5,0,0,0,27,4,,,,,,,
1PM,4,0,1,0,12,6,,,,,,,
2PM,7,1,1,0,17,9,,,,,,,
3PM,6,0,1,0,9,8,,,,,,,
4PM,5,0,0,1,34,12,,,,,,,
5PM,5,3,0,1,9,8,,,,,,,
6PM,6,1,2,0,7,9,,,,,,,
7PM,12,2,0,0,11,2,,,,,,,
8PM,17,1,0,1,8,5,,,,,,,
9PM,35,1,2,1,16,6,,,,,,,
10PM,52,0,0,1,23,7,,,,,,,
11PM,70,0,0,0,20,7,419,12,22,5,370,143,971
,43%,1%,2%,1%,38%,15%,,,,,,,
