time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,152,2,0,1,48,30,,,,,,,
1AM,112,0,0,1,27,18,,,,,,,
2AM,74,3,0,2,22,14,,,,,,,
3AM,34,0,0,0,9,6,,,,,,,
4AM,18,0,0,0,10,4,,,,,,,
5AM,16,0,0,0,5,5,,,,,,,
6AM,10,1,0,0,0,7,,,,,,,
7AM,9,2,0,0,8,5,,,,,,,
8AM,10,3,0,3,12,6,,,,,,,
9AM,18,2,0,1,16,13,,,,,,,
10AM,23,1,0,3,15,18,,,,,,,
11AM,18,1,0,3,50,11,,,,,,,
12PM,15,0,0,2,95,27,,,,,,,
1PM,19,0,0,4,77,32,,,,,,,
2PM,24,0,0,4,78,22,,,,,,,
3PM,33,0,0,6,48,24,,,,,,,
4PM,17,0,0,2,41,38,,,,,,,
5PM,26,1,0,2,32,47,,,,,,,
6PM,11,0,1,3,41,34,,,,,,,
7PM,29,0,0,4,36,15,,,,,,,
8PM,67,0,0,23,46,10,,,,,,,
9PM,89,0,0,17,57,20,,,,,,,
10PM,117,0,0,1,47,28,,,,,,,
11PM,114,0,0,1,53,25,1055,16,1,83,873,459,2487
,42%,1%,0%,3%,35%,18%,,,,,,,
