time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,95,0,0,0,10,15,,,,,,,
1AM,65,0,0,0,11,11,,,,,,,
2AM,41,0,0,1,6,6,,,,,,,
3AM,16,0,0,0,11,3,,,,,,,
4AM,5,0,0,0,4,9,,,,,,,
5AM,3,0,0,0,4,6,,,,,,,
6AM,2,2,0,0,1,11,,,,,,,
7AM,1,3,0,0,5,4,,,,,,,
8AM,5,2,0,0,16,8,,,,,,,
9AM,6,0,0,0,12,10,,,,,,,
10AM,11,0,0,0,8,5,,,,,,,
11AM,6,2,0,1,15,4,,,,,,,
12PM,2,6,0,1,10,1,,,,,,,
1PM,4,2,1,2,20,4,,,,,,,
2PM,6,1,0,2,8,2,,,,,,,
3PM,3,0,1,1,20,3,,,,,,,
4PM,9,4,0,0,22,12,,,,,,,
5PM,6,2,0,1,17,8,,,,,,,
6PM,6,1,0,3,10,9,,,,,,,
7PM,8,1,0,0,11,0,,,,,,,
8PM,33,1,0,0,6,7,,,,,,,
9PM,57,1,0,0,9,13,,,,,,,
10PM,67,5,0,1,9,12,,,,,,,
11PM,95,1,0,1,11,12,552,34,2,14,256,175,1033
,53%,3%,0%,1%,25%,17%,,,,,,,
