time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,27,0,0,0,7,11,,,,,,,,
1AM,21,0,0,0,6,3,,,,,,,,
2AM,12,0,0,0,5,1,,,,,,,,
3AM,6,0,0,0,2,4,,,,,,,,
4AM,2,0,0,0,3,2,,,,,,,,
5AM,2,1,0,0,1,6,,,,,,,,
6AM,22,2,0,0,4,12,,,,,,,,
7AM,10,5,0,0,3,2,,,,,,,,
8AM,9,1,0,0,1,8,,,,,,,,
9AM,12,4,0,2,3,4,,,,,,,,
10AM,29,2,0,2,4,4,,420,44,1,14,140,128,747
11AM,12,3,0,2,4,3,,,,,,,,
12PM,11,4,0,1,2,3,,,,,,,,
1PM,13,1,0,2,7,3,,,,,,,,
2PM,13,4,0,1,7,6,,,,,,,,
3PM,11,1,0,1,6,5,,,,,,,,
4PM,12,4,0,1,2,5,,,,,,,,
5PM,3,6,0,0,7,6,,,,,,,,
6PM,20,2,0,0,16,3,,,,,,,,
7PM,25,0,0,1,6,3,,,,,,,,
8PM,28,1,1,1,9,4,,,,,,,,
9PM,48,2,0,0,15,15,,,,,,,,
10PM,41,1,0,0,8,6,,,,,,,,
11PM,31,0,0,0,12,9,,,,,,,,
,56%,6%,0%,2%,19%,17%,,,,,,,,
