time,commercial,helicopter,house,park,street,vehicle
12AM,223,0,3,9,292,88
1AM,221,0,0,5,235,58
2AM,115,0,0,0,138,47
3AM,74,1,0,0,74,36
4AM,32,0,0,0,58,31
5AM,8,1,0,0,18,22
6AM,1,3,0,1,9,12
7AM,5,3,0,1,7,14
8AM,5,1,0,0,5,22
9AM,3,1,0,0,9,12
10AM,10,3,0,6,14,16
11AM,11,1,0,0,21,13
12PM,11,3,0,3,15,12
1PM,21,1,2,3,26,14
2PM,20,3,1,5,25,12
3PM,22,2,0,1,30,20
4PM,16,4,1,2,21,16
5PM,11,8,0,7,61,30
6PM,20,0,1,3,52,42
7PM,34,1,4,8,86,56
8PM,37,4,1,6,107,72
9PM,68,1,3,4,148,85
10PM,125,2,3,4,265,115
11PM,168,2,1,7,373,101
