time,commercial,helicopter,house,park,street,vehicle
12AM,151,2,3,6,392,82
1AM,152,0,3,6,295,62
2AM,91,0,2,0,152,42
3AM,64,0,0,2,106,18
4AM,33,1,0,0,83,33
5AM,12,0,0,0,42,25
6AM,19,1,0,0,12,10
7AM,1,2,0,0,18,4
8AM,1,0,1,0,8,2
9AM,10,1,0,0,9,4
10AM,23,9,1,0,14,5
11AM,19,14,0,1,10,2
12PM,24,11,0,1,15,10
1PM,10,13,3,1,37,9
2PM,13,16,1,2,44,6
3PM,31,12,1,1,38,16
4PM,32,6,2,5,47,19
5PM,25,6,3,4,90,19
6PM,42,1,1,8,85,25
7PM,66,2,3,10,98,33
8PM,72,3,8,11,185,60
9PM,108,1,7,7,246,56
10PM,185,2,3,11,395,95
11PM,207,4,5,10,486,119
