time,commercial,helicopter,house,park,street,vehicle,,,,,,,,
12AM,281,1,0,8,97,22,,,,,,,,
1AM,251,0,0,5,59,190,,,,,,,,
2AM,127,0,0,2,58,19,,,,,,,,
3AM,40,0,0,0,35,17,,2208,44,7,161,1297,482,4199
4AM,24,0,0,0,44,17,,,,,,,,
5AM,14,0,1,0,13,13,,,,,,,,
6AM,18,2,0,0,11,5,,,,,,,,
7AM,16,5,0,2,16,8,,,,,,,,
8AM,12,1,1,2,19,6,,,,,,,,
9AM,24,6,0,3,26,8,,,,,,,,
10AM,20,3,0,3,28,10,,,,,,,,
11AM,22,3,0,3,46,5,,,,,,,,
12PM,26,1,0,10,60,5,,,,,,,,
1PM,26,5,1,12,63,8,,,,,,,,
2PM,31,2,0,9,84,10,,,,,,,,
3PM,33,3,0,12,58,13,,,,,,,,
4PM,33,1,2,11,60,7,,,,,,,,
5PM,48,5,0,10,55,12,,,,,,,,
6PM,82,2,0,13,44,3,,,,,,,,
7PM,123,1,0,6,36,8,,,,,,,,
8PM,132,0,0,19,61,15,,,,,,,,
9PM,224,0,2,8,78,16,,,,,,,,
10PM,260,1,0,14,126,29,,,,,,,,
11PM,341,2,0,9,120,36,,,,,,,,
,53%,1%,0%,4%,31%,11%,,,,,,,,
