FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
7,777,Noise - Commercial,40.81986557,-73.95852336,12AM,Manhattanville
9,1421,Noise - Commercial,40.82155481,-73.95454435,1AM,Manhattanville
10,1428,Noise - Commercial,40.81986557,-73.95852336,11PM,Manhattanville
12,1608,Noise - Commercial,40.81986557,-73.95852336,11PM,Manhattanville
22,2610,Noise - Commercial,40.82130084,-73.95792992,1AM,Manhattanville
23,2906,Noise - Commercial,40.81751947,-73.95302972,10PM,Manhattanville
24,3099,Noise - Commercial,40.81986557,-73.95852336,1AM,Manhattanville
25,3116,Noise - Commercial,40.81986557,-73.95852336,1AM,Manhattanville
26,3746,Noise - Commercial,40.82000567,-73.95887372,12AM,Manhattanville
27,3940,Noise - Commercial,40.81986557,-73.95852336,4PM,Manhattanville
29,4204,Noise - Commercial,40.82103435,-73.95724362,1AM,Manhattanville
31,4369,Noise - Commercial,40.82103435,-73.95724362,1AM,Manhattanville
33,4774,Noise - Commercial,40.82103435,-73.95724362,11PM,Manhattanville
35,4887,Noise - Commercial,40.82103435,-73.95724362,11PM,Manhattanville
36,4915,Noise - Commercial,40.82000567,-73.95887372,1AM,Manhattanville
37,4917,Noise - Commercial,40.82103435,-73.95724362,12AM,Manhattanville
42,330,Noise - Commercial,40.7581599,-73.9625937,9PM,Turtle Bay-East Midtown
43,343,Noise - Commercial,40.75695638,-73.967294,11PM,Turtle Bay-East Midtown
44,358,Noise - Commercial,40.75695638,-73.967294,10PM,Turtle Bay-East Midtown
50,583,Noise - Commercial,40.75575619,-73.964786,4AM,Turtle Bay-East Midtown
51,591,Noise - Commercial,40.75246186,-73.97252246,12AM,Turtle Bay-East Midtown
52,748,Noise - Commercial,40.75246186,-73.97252246,10PM,Turtle Bay-East Midtown
53,796,Noise - Commercial,40.75510246,-73.97320355,1AM,Turtle Bay-East Midtown
56,920,Noise - Commercial,40.75707705,-73.96693659,1AM,Turtle Bay-East Midtown
57,928,Noise - Commercial,40.75686026,-73.96709552,2AM,Turtle Bay-East Midtown
59,953,Noise - Commercial,40.75593546,-73.96773846,8PM,Turtle Bay-East Midtown
61,1107,Noise - Commercial,40.75494312,-73.9725864,12AM,Turtle Bay-East Midtown
73,1424,Noise - Commercial,40.74521022,-73.97246049,1AM,Turtle Bay-East Midtown
75,1489,Noise - Commercial,40.74521022,-73.97246049,1AM,Turtle Bay-East Midtown
76,1510,Noise - Commercial,40.75416272,-73.96905314,12AM,Turtle Bay-East Midtown
81,1582,Noise - Commercial,40.75510246,-73.97320355,4AM,Turtle Bay-East Midtown
90,1790,Noise - Commercial,40.75575619,-73.964786,11PM,Turtle Bay-East Midtown
94,1999,Noise - Commercial,40.75510246,-73.97320355,2AM,Turtle Bay-East Midtown
95,2006,Noise - Commercial,40.75575619,-73.964786,9AM,Turtle Bay-East Midtown
101,2197,Noise - Commercial,40.75510246,-73.97320355,2AM,Turtle Bay-East Midtown
109,2606,Noise - Commercial,40.75448769,-73.97340232,3AM,Turtle Bay-East Midtown
111,2645,Noise - Commercial,40.75448769,-73.97340232,3AM,Turtle Bay-East Midtown
114,2719,Noise - Commercial,40.75448769,-73.97340232,1AM,Turtle Bay-East Midtown
119,2974,Noise - Commercial,40.75448769,-73.97340232,1AM,Turtle Bay-East Midtown
120,3052,Noise - Commercial,40.75448769,-73.97340232,1AM,Turtle Bay-East Midtown
125,3267,Noise - Commercial,40.74879969,-73.96984602,2PM,Turtle Bay-East Midtown
145,3666,Noise - Commercial,40.75800513,-73.96819227,1AM,Turtle Bay-East Midtown
146,3689,Noise - Commercial,40.75737944,-73.96860406,11PM,Turtle Bay-East Midtown
