FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
113,2705,Noise - Helicopter,40.76025072,-73.96962425,7AM,Turtle Bay-East Midtown
1294,227,Noise - Helicopter,40.85180533,-73.93899138,6AM,Washington Heights North
1335,978,Noise - Helicopter,40.85584834,-73.93412562,2PM,Washington Heights North
1514,548,Noise - Helicopter,40.70889752,-74.00523005,5PM,Battery Park City-Lower Manhattan
1516,581,Noise - Helicopter,40.71156995,-74.01578457,3PM,Battery Park City-Lower Manhattan
1564,1905,Noise - Helicopter,40.71156995,-74.01578457,2PM,Battery Park City-Lower Manhattan
1616,3957,Noise - Helicopter,40.71140621,-74.00557292,10AM,Battery Park City-Lower Manhattan
3052,663,Noise - Helicopter,40.73645757,-74.00650599,4PM,West Village
3309,3375,Noise - Helicopter,40.73813186,-74.00672267,9AM,West Village
4416,1962,Noise - Helicopter,40.80420738,-73.96864699,12PM,Morningside Heights
4528,655,Noise - Helicopter,40.79613582,-73.97126924,11AM,Upper West Side
4529,660,Noise - Helicopter,40.79613582,-73.97126924,5PM,Upper West Side
4542,994,Noise - Helicopter,40.78559,-73.98200595,4PM,Upper West Side
4597,1972,Noise - Helicopter,40.7868003,-73.981222,3PM,Upper West Side
4630,2631,Noise - Helicopter,40.78390047,-73.9740586,12AM,Upper West Side
4697,4180,Noise - Helicopter,40.78769507,-73.9811423,3PM,Upper West Side
4705,4389,Noise - Helicopter,40.78928936,-73.97884507,4PM,Upper West Side
4708,4444,Noise - Helicopter,40.78928936,-73.97884507,4PM,Upper West Side
4861,865,Noise - Helicopter,40.83378165,-73.94614858,1PM,Washington Heights South
4868,1166,Noise - Helicopter,40.83378165,-73.94614858,1PM,Washington Heights South
4875,1332,Noise - Helicopter,40.83733304,-73.94005991,2PM,Washington Heights South
4877,1571,Noise - Helicopter,40.83378165,-73.94614858,12PM,Washington Heights South
4885,1908,Noise - Helicopter,40.83378165,-73.94614858,2PM,Washington Heights South
4890,2141,Noise - Helicopter,40.83378165,-73.94614858,5PM,Washington Heights South
4898,2616,Noise - Helicopter,40.83378165,-73.94614858,1PM,Washington Heights South
4906,3141,Noise - Helicopter,40.83378165,-73.94614858,11AM,Washington Heights South
4956,4443,Noise - Helicopter,40.83378165,-73.94614858,11AM,Washington Heights South
5343,5803,Noise - Helicopter,40.75928411,-73.95926496,6AM,Lenox Hill-Roosevelt Island
5516,8007,Noise - Helicopter,40.83130723,-73.94315855,3PM,Hamilton Heights
5668,7053,Noise - Helicopter,40.76879886,-73.99248722,7AM,Clinton
6289,5399,Noise - Helicopter,40.85951961,-73.93214814,10AM,Washington Heights North
6429,9502,Noise - Helicopter,40.85321491,-73.92745177,8AM,Washington Heights North
6440,9809,Noise - Helicopter,40.85297594,-73.93643829,9AM,Washington Heights North
6594,7650,Noise - Helicopter,40.71124331,-74.01592517,3PM,Battery Park City-Lower Manhattan
6760,8110,Noise - Helicopter,40.7777214,-73.98600869,12PM,Lincoln Square
7758,6897,Noise - Helicopter,40.78129989,-73.95990145,7AM,Upper East Side-Carnegie Hill
7764,7363,Noise - Helicopter,40.78722638,-73.95416333,10PM,Upper East Side-Carnegie Hill
7876,7437,Noise - Helicopter,40.79824304,-73.95246182,10PM,Central Harlem South
8085,5212,Noise - Helicopter,40.73244734,-73.99127896,5PM,West Village
