FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
391,703,Noise - House of Worship,40.82293267,-73.94806509,6AM,Hamilton Heights
956,4203,Noise - House of Worship,40.72678523,-74.00105712,6PM,SoHo-TriBeCa-Civic Center-Little Italy
1011,1017,Noise - House of Worship,40.80212991,-73.93611842,2AM,East Harlem North
1352,1297,Noise - House of Worship,40.86396652,-73.92843426,9PM,Washington Heights North
2234,1536,Noise - House of Worship,40.74469471,-73.99706599,3PM,Hudson Yards-Chelsea-Flatiron-Union Square
2620,3688,Noise - House of Worship,40.78103309,-73.95131142,6PM,Yorkville
2621,3745,Noise - House of Worship,40.78103309,-73.95131142,2PM,Yorkville
2635,4432,Noise - House of Worship,40.78103309,-73.95131142,6PM,Yorkville
2639,4664,Noise - House of Worship,40.78090945,-73.95100459,11AM,Yorkville
2830,2575,Noise - House of Worship,40.80400001,-73.95566163,12PM,Central Harlem South
2838,3091,Noise - House of Worship,40.80400001,-73.95566163,12PM,Central Harlem South
2854,4037,Noise - House of Worship,40.80400001,-73.95566163,12PM,Central Harlem South
3003,99,Noise - House of Worship,40.73227716,-73.99131146,1PM,West Village
3786,1590,Noise - House of Worship,40.73722204,-73.98139114,1PM,Gramercy
4009,2101,Noise - House of Worship,40.73112604,-73.98203148,8AM,East Village
4569,1500,Noise - House of Worship,40.79843967,-73.96503792,8AM,Upper West Side
4607,2196,Noise - House of Worship,40.78768567,-73.97501409,10PM,Upper West Side
4733,4948,Noise - House of Worship,40.78708426,-73.97359874,9PM,Upper West Side
4734,4963,Noise - House of Worship,40.78693046,-73.97320158,9PM,Upper West Side
4765,1442,Noise - House of Worship,40.81536797,-73.94179572,1AM,Central Harlem North-Polo Grounds
4904,2988,Noise - House of Worship,40.83436135,-73.94168154,8AM,Washington Heights South
4930,3793,Noise - House of Worship,40.83279913,-73.94073974,12AM,Washington Heights South
5114,6691,Noise - House of Worship,40.75899935,-73.97053446,3PM,Turtle Bay-East Midtown
5474,6056,Noise - House of Worship,40.82676249,-73.9502048,12AM,Hamilton Heights
5538,9118,Noise - House of Worship,40.82699195,-73.94772949,10PM,Hamilton Heights
6044,6512,Noise - House of Worship,40.80212991,-73.93611842,10PM,East Harlem North
6046,6755,Noise - House of Worship,40.80212991,-73.93611842,12AM,East Harlem North
6327,6909,Noise - House of Worship,40.86361231,-73.92820688,12AM,Washington Heights North
7851,6085,Noise - House of Worship,40.80729548,-73.95327173,1AM,Central Harlem South
8855,5560,Noise - House of Worship,40.73112604,-73.98203148,10AM,East Village
9381,5056,Noise - House of Worship,40.7844728,-73.98142126,12AM,Upper West Side
9469,7065,Noise - House of Worship,40.79137613,-73.96996758,6AM,Upper West Side
9494,7557,Noise - House of Worship,40.80037643,-73.97130714,2PM,Upper West Side
9526,7992,Noise - House of Worship,40.79187048,-73.97113746,9PM,Upper West Side
9617,9968,Noise - House of Worship,40.78513581,-73.97501866,8PM,Upper West Side
9713,9109,Noise - House of Worship,40.80942727,-73.93960459,1PM,Central Harlem North-Polo Grounds
9876,7818,Noise - House of Worship,40.83276595,-73.94582418,10PM,Washington Heights South
10239,12333,Noise - House of Worship,40.77007339,-73.95139886,10AM,Lenox Hill-Roosevelt Island
10240,12385,Noise - House of Worship,40.76971859,-73.95643538,7PM,Lenox Hill-Roosevelt Island
10317,10765,Noise - House of Worship,40.82690952,-73.94753444,10PM,Hamilton Heights
10322,11022,Noise - House of Worship,40.82710462,-73.94803293,10PM,Hamilton Heights
10369,14703,Noise - House of Worship,40.82772833,-73.9495067,7PM,Hamilton Heights
10566,13587,Noise - House of Worship,40.75783078,-73.99121427,11PM,Clinton
11011,13409,Noise - House of Worship,40.80190731,-73.93561296,1PM,East Harlem North
11347,11888,Noise - House of Worship,40.8631922,-73.92792533,10PM,Washington Heights North
13715,13823,Noise - House of Worship,40.74298081,-73.98327331,12AM,Gramercy
13720,14181,Noise - House of Worship,40.74298081,-73.98327331,12AM,Gramercy
13793,13693,Noise - House of Worship,40.78889815,-73.94243278,12AM,East Harlem South
13811,14751,Noise - House of Worship,40.7883183,-73.94101768,1AM,East Harlem South
14005,13621,Noise - House of Worship,40.72799955,-73.9807082,8AM,East Village
14027,14063,Noise - House of Worship,40.72798582,-73.98067573,9AM,East Village
14204,14154,Noise - House of Worship,40.71895909,-73.98608957,9AM,Lower East Side
