FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
13,1635,Noise - Street/Sidewalk,40.82187839,-73.95378538,4PM,Manhattanville
14,1745,Noise - Street/Sidewalk,40.8123888,-73.95112953,10PM,Manhattanville
15,1759,Noise - Street/Sidewalk,40.82187839,-73.95378538,4PM,Manhattanville
18,2386,Noise - Street/Sidewalk,40.81269154,-73.95312705,7PM,Manhattanville
19,2396,Noise - Street/Sidewalk,40.82187839,-73.95378538,7PM,Manhattanville
28,4182,Noise - Street/Sidewalk,40.82107204,-73.95532147,11PM,Manhattanville
48,452,Noise - Street/Sidewalk,40.75362485,-73.96943237,3AM,Turtle Bay-East Midtown
58,935,Noise - Street/Sidewalk,40.74879969,-73.96984602,10AM,Turtle Bay-East Midtown
100,2169,Noise - Street/Sidewalk,40.75510246,-73.97320355,2AM,Turtle Bay-East Midtown
118,2970,Noise - Street/Sidewalk,40.75954049,-73.9722452,10PM,Turtle Bay-East Midtown
141,3543,Noise - Street/Sidewalk,40.74951593,-73.96931876,5PM,Turtle Bay-East Midtown
143,3585,Noise - Street/Sidewalk,40.75817977,-73.96467643,4AM,Turtle Bay-East Midtown
149,3801,Noise - Street/Sidewalk,40.75300264,-73.9728182,8AM,Turtle Bay-East Midtown
151,3890,Noise - Street/Sidewalk,40.75926409,-73.96517038,12PM,Turtle Bay-East Midtown
153,3923,Noise - Street/Sidewalk,40.75300264,-73.9728182,9AM,Turtle Bay-East Midtown
157,3985,Noise - Street/Sidewalk,40.7535954,-73.97237401,8AM,Turtle Bay-East Midtown
173,4384,Noise - Street/Sidewalk,40.74879969,-73.96984602,8AM,Turtle Bay-East Midtown
187,4744,Noise - Street/Sidewalk,40.7581599,-73.9625937,9PM,Turtle Bay-East Midtown
209,301,Noise - Street/Sidewalk,40.7667121,-73.96132177,6PM,Lenox Hill-Roosevelt Island
214,466,Noise - Street/Sidewalk,40.7667121,-73.96132177,12PM,Lenox Hill-Roosevelt Island
271,2267,Noise - Street/Sidewalk,40.77077106,-73.95985002,9PM,Lenox Hill-Roosevelt Island
272,2269,Noise - Street/Sidewalk,40.77138741,-73.95647762,2AM,Lenox Hill-Roosevelt Island
290,2518,Noise - Street/Sidewalk,40.76620801,-73.9563005,7PM,Lenox Hill-Roosevelt Island
299,2913,Noise - Street/Sidewalk,40.76060052,-73.96431418,9AM,Lenox Hill-Roosevelt Island
314,3842,Noise - Street/Sidewalk,40.76737727,-73.95629612,9AM,Lenox Hill-Roosevelt Island
358,16,Noise - Street/Sidewalk,40.82522248,-73.94969287,12AM,Hamilton Heights
359,22,Noise - Street/Sidewalk,40.82537909,-73.95005047,11PM,Hamilton Heights
