FID,OBJECTID,Complaint_,Latitude,Longitude,Hour_,ntaname
0,25,Noise - Vehicle,40.82111049,-73.95536842,9PM,Manhattanville
1,27,Noise - Vehicle,40.81884287,-73.95415239,9PM,Manhattanville
6,521,Noise - Vehicle,40.81380783,-73.95115377,11PM,Manhattanville
11,1576,Noise - Vehicle,40.81916894,-73.95277926,4PM,Manhattanville
21,2498,Noise - Vehicle,40.81880243,-73.9560239,11AM,Manhattanville
32,4409,Noise - Vehicle,40.81356636,-73.95132013,2AM,Manhattanville
54,799,Noise - Vehicle,40.7558709,-73.97282064,2AM,Turtle Bay-East Midtown
77,1512,Noise - Vehicle,40.75471007,-73.97365489,11PM,Turtle Bay-East Midtown
91,1830,Noise - Vehicle,40.75734099,-73.96851023,4AM,Turtle Bay-East Midtown
112,2655,Noise - Vehicle,40.75461951,-73.97373433,1AM,Turtle Bay-East Midtown
122,3110,Noise - Vehicle,40.75461951,-73.97373433,11PM,Turtle Bay-East Midtown
138,3446,Noise - Vehicle,40.75095183,-73.9708448,6AM,Turtle Bay-East Midtown
140,3464,Noise - Vehicle,40.75251855,-73.96879403,10PM,Turtle Bay-East Midtown
142,3574,Noise - Vehicle,40.75817977,-73.96467643,1AM,Turtle Bay-East Midtown
147,3693,Noise - Vehicle,40.75284812,-73.96956627,10PM,Turtle Bay-East Midtown
181,4573,Noise - Vehicle,40.7599831,-73.96480182,10PM,Turtle Bay-East Midtown
183,4587,Noise - Vehicle,40.75751728,-73.97088163,1AM,Turtle Bay-East Midtown
192,4835,Noise - Vehicle,40.75461951,-73.97373433,1AM,Turtle Bay-East Midtown
193,4874,Noise - Vehicle,40.74853976,-73.97314123,4PM,Turtle Bay-East Midtown
197,4927,Noise - Vehicle,40.75461951,-73.97373433,12AM,Turtle Bay-East Midtown
211,371,Noise - Vehicle,40.76290812,-73.96203873,11PM,Lenox Hill-Roosevelt Island
255,1789,Noise - Vehicle,40.76872457,-73.95533854,11AM,Lenox Hill-Roosevelt Island
283,2395,Noise - Vehicle,40.76243354,-73.96282233,12AM,Lenox Hill-Roosevelt Island
297,2733,Noise - Vehicle,40.76123442,-73.96388427,6PM,Lenox Hill-Roosevelt Island
313,3832,Noise - Vehicle,40.76118024,-73.95790292,9AM,Lenox Hill-Roosevelt Island
320,4354,Noise - Vehicle,40.77257619,-73.95730723,10AM,Lenox Hill-Roosevelt Island
336,4592,Noise - Vehicle,40.7667121,-73.96132177,2PM,Lenox Hill-Roosevelt Island
340,4607,Noise - Vehicle,40.76399118,-73.95878197,11PM,Lenox Hill-Roosevelt Island
400,1386,Noise - Vehicle,40.82575824,-73.95093905,7PM,Hamilton Heights
406,1628,Noise - Vehicle,40.82281703,-73.95365466,5PM,Hamilton Heights
413,2187,Noise - Vehicle,40.82838371,-73.94235887,5AM,Hamilton Heights
416,2590,Noise - Vehicle,40.82256473,-73.94773658,6PM,Hamilton Heights
437,4452,Noise - Vehicle,40.82407758,-73.94888439,5PM,Hamilton Heights
