time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,3,0,0,2,10,3,,,,,,,
1AM,1,0,0,2,6,6,,,,,,,
2AM,0,0,0,2,8,3,,,,,,,
3AM,0,0,0,0,0,1,,,,,,,
4AM,0,0,0,1,3,1,,,,,,,
5AM,0,2,0,0,2,2,,,,,,,
6AM,0,0,0,1,1,0,,,,,,,
7AM,6,1,0,2,3,0,,,,,,,
8AM,3,1,0,4,3,0,,,,,,,
9AM,0,2,0,5,1,1,,,,,,,
10AM,0,4,0,5,4,0,,,,,,,
11AM,0,4,0,11,3,1,,,,,,,
12PM,2,1,1,12,9,1,,,,,,,
1PM,1,3,0,17,7,3,,,,,,,
2PM,1,1,0,12,13,3,,,,,,,
3PM,1,1,0,24,19,2,,,,,,,
4PM,2,2,0,12,9,4,,,,,,,
5PM,1,1,0,9,11,5,,,,,,,
6PM,0,2,0,10,10,3,,,,,,,
7PM,0,0,0,8,6,6,,,,,,,
8PM,3,1,0,17,6,7,,,,,,,
9PM,6,2,0,19,8,8,,,,,,,
10PM,1,0,0,15,14,8,,,,,,,
11PM,5,0,0,4,14,7,36,28,1,194,170,75,504
,7%,6%,0%,38%,34%,15%,,,,,,,
